Date,Symbol,Security Name,Open,High,Low,Close,Volume,Open Interest,Delivery Month
2021-03-12,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,620,625.25,616.25,619.25,29949,215215,202105
2021-03-15,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,619.75,624.75,614,622.5,38568,213686,202105
2021-03-16,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,621.5,624.75,607,624,46941,216039,202105
2021-03-17,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,622.25,625,616,616.75,21890,215413,202105
2021-03-18,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,616.25,617.5,601.25,602.75,32742,218836,202105
2021-03-19,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,602.75,606,595.75,601.25,44403,220689,202105
2021-03-22,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,603.25,603.25,590,594,42642,219930,202105
2021-03-23,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,592.75,602.75,582.25,597.75,63326,220866,202105
2021-03-24,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,597.75,598.5,590.75,592,35990,221939,202105
2021-03-25,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,592,593.25,581.25,582.5,40360,221930,202105
2021-03-26,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,582.5,588.25,578.25,584,31444,223805,202105
2021-03-29,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,585,586,574,585.25,44149,225967,202105
2021-03-30,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,584.75,585,572,574.25,31418,225545,202105
2021-03-31,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,575,602.75,568.75,591.5,80104,230608,202105
2021-04-01,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,593.5,597.75,574.75,580.75,61681,233356,202105
2021-04-05,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,579,589.5,577.5,578.75,35220,234011,202105
2021-04-06,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,581,582.75,569.25,571.25,69163,232449,202105
2021-04-07,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,572,582,571,579,59405,231850,202105
2021-04-08,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,579.25,595.75,579.25,592.25,102115,230576,202105
2021-04-09,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,594.5,608.25,592.5,602.25,92273,226434,202105
2021-04-12,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,602.25,604.25,591.5,594.75,90300,221369,202105
2021-04-13,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,595.75,602.75,592,600.5,61588,221216,202105
2021-04-14,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,599.75,624.5,599.75,619.25,103186,217525,202105
2021-04-15,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,620,626.5,611.75,623.5,63035,217656,202105
2021-04-16,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,623.5,631.75,616.75,625,59128,216510,202105
2021-04-19,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,625.75,634.25,625.25,627.75,33012,213599,202105
2021-04-20,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,627.75,651.5,625,636.5,68473,215075,202105
2021-04-21,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,638.75,652.25,634.25,646.5,43961,214064,202105
2021-04-22,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,646.5,686.5,646.5,683.25,69887,216662,202105
2021-04-23,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,683,691.5,676.5,689,61095,220640,202105
2021-04-26,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,689.75,727.75,689.75,717.5,72022,219473,202105
2021-04-27,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,719.25,750.5,711.5,720,91619,219918,202105
2021-04-28,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,718.75,727.5,697.75,705,68998,219202,202105
2021-04-29,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,702.75,711,690.25,704.25,47714,220061,202105
2021-04-30,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,703.75,715,692.5,713.25,35351,219509,202107
2021-05-03,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,719.75,732.25,693.75,698.25,47596,220996,202107
2021-05-04,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,698.25,715.75,696,709,36630,223672,202107
2021-05-05,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,711.25,729,700.75,726.75,33917,223701,202107
2021-05-06,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,729.5,739.5,719,736.5,41041,224283,202107
2021-05-07,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,736.5,751.25,731.25,746.5,43564,224810,202107
2021-05-10,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,739.75,745.75,710.5,713.25,49833,225522,202107
2021-05-11,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,712.25,728.25,704,720.25,48009,226501,202107
2021-05-12,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,723.25,730.5,697.25,700.5,58563,228595,202107
2021-05-13,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,702.75,703.5,660.75,667.5,73356,228965,202107
2021-05-14,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,674,687.5,661,667.5,63220,225257,202107
2021-05-17,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,667.5,668.75,653,662,35903,224034,202107
2021-05-18,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,662.75,680.25,652.25,657.5,37170,224139,202107
2021-05-19,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,657.5,659.25,629,643.5,52796,223884,202107
2021-05-20,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,648.75,653.25,632,634.75,64480,226707,202107
2021-05-21,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,635,637.25,625.5,633.75,50547,227250,202107
2021-05-24,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,627.75,630,616,625,34272,225316,202107
2021-05-25,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,627.25,629.75,606.75,614.25,46893,224190,202107
2021-05-26,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,613.75,616.25,597.75,608.5,67196,221344,202107
2021-05-27,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,610.5,639.25,608.75,636,49163,222118,202107
2021-05-28,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,637.5,639.25,620.5,623,44680,221450,202107
2021-06-01,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,633,662.75,631.25,647.25,51350,221164,202107
2021-06-02,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,645.75,656.5,635.25,643.5,51777,220707,202107
2021-06-03,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,643.75,656.5,627.25,634,50564,218340,202107
2021-06-04,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,633.5,649.5,632.25,646.25,49765,218910,202107
2021-06-07,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,654.75,664.25,637,639.75,84939,211393,202107
2021-06-08,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,642,660,638.25,642.25,78157,208861,202107
2021-06-09,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,643,646.75,630.75,645.5,76718,207585,202107
2021-06-10,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,646,657,640.25,650,73546,207582,202107
2021-06-11,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,649.5,652.5,634,647.75,65346,207028,202107
2021-06-14,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,644.75,646.25,622.25,637.75,44945,206573,202107
2021-06-15,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,637.5,638,612,622.5,85899,203255,202107
2021-06-16,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,622.75,632.5,618.25,620.5,61798,200888,202107
2021-06-17,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,621.5,623.25,593.5,595,59735,204013,202107
2021-06-18,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,596,626,595.25,616.25,62975,200926,202107
2021-06-21,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,617.25,620.75,597.25,609.5,54113,198943,202107
2021-06-22,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,614.75,622.25,605,606.25,42233,199345,202107
2021-06-23,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,609.5,628.5,608,621.75,55914,198142,202107
2021-06-24,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,619.75,623.75,608.5,615.75,47057,198538,202107
2021-06-25,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,615.25,624.75,606.5,610,47177,196709,202107
2021-06-28,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,610,633,609.75,627.75,75787,189374,202107
2021-06-29,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,630,644.75,624,628.75,66400,183112,202107
2021-06-30,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,626,663,615.5,660.75,61715,183730,202109
2021-07-01,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,660.75,670.75,639.25,640,63248,183701,202109
2021-07-02,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,639.75,648.5,614.75,621,55181,184533,202109
2021-07-06,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,604.25,606,581.75,585.5,55418,188944,202109
2021-07-07,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,584.75,596.75,580,586.25,40310,189571,202109
2021-07-08,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,589.75,597.75,584,589.75,37780,188947,202109
2021-07-09,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,591.25,600.5,586,595.75,45737,188005,202109
2021-07-12,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,594.5,620.75,588.25,617,53741,191314,202109
2021-07-13,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,614.75,620.5,604.75,613.5,36315,195641,202109
2021-07-14,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,612.75,632.75,612.5,629.5,43882,196980,202109
2021-07-15,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,627.75,642.75,625.25,642,44400,198132,202109
2021-07-16,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,640.75,662.5,639.25,653.25,49429,198993,202109
2021-07-19,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,660,669.75,651,654,49913,200660,202109
2021-07-20,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,654.5,676,654.5,662,48289,203364,202109
2021-07-21,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,661.75,672.25,661.75,670.5,50499,207649,202109
2021-07-22,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,667.25,668.5,646.5,655.5,50841,208787,202109
2021-07-23,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,651.75,662.25,641,647.75,45246,214025,202109
2021-07-26,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,650.75,650.75,632.75,640.75,35695,213883,202109
2021-07-27,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,642.75,656.75,637.25,643.25,39974,213937,202109
2021-07-28,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,642.75,662.5,642.5,661.25,41949,212652,202109
2021-07-29,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,661.25,679.5,659.75,676.25,48805,215158,202109
2021-07-30,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,675,681.25,665.75,675,45747,218299,202109
2021-08-02,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,674,707.5,674,705.25,60655,221082,202109
2021-08-03,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,703.25,713.5,697,709.25,61582,225807,202109
2021-08-04,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,707.25,720.75,694.25,696,64010,230099,202109
2021-08-05,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,694,704,689.5,693.25,55977,232243,202109
2021-08-06,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,693.25,710,690.75,707.5,86068,233286,202109
2021-08-09,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,706.5,713.75,698.5,703.25,66073,236239,202109
2021-08-10,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,702.5,719.75,701.25,716,87323,230837,202109
2021-08-11,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,714.75,719.75,707,712,87105,228381,202109
2021-08-12,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,710.75,748.75,708.25,740.5,96138,233586,202109
2021-08-13,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,737.75,758,733.75,744,92691,228809,202109
2021-08-16,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,743.75,750.75,736.5,738.25,53554,229998,202109
2021-08-17,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,739.75,742.5,715,718.5,58976,229763,202109
2021-08-18,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,718.25,727.25,705.5,725.5,44113,232648,202109
2021-08-19,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,724.25,724.5,708.75,717.25,50912,234993,202109
2021-08-20,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,717.25,720.5,697,703.75,70187,239008,202109
2021-08-23,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,701.5,717.5,698.75,706,41822,236361,202109
2021-08-24,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,708.5,711.25,697.75,706,50903,232626,202109
2021-08-25,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,706,710,698.25,703.75,53016,229336,202109
2021-08-26,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,703.75,718.75,701.75,717.25,47721,230071,202109
2021-08-27,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,717.25,724.75,710.75,714,53915,225662,202109
2021-08-30,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,717,726.5,702.75,706,40304,229315,202109
2021-08-31,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,706,710.25,692.5,705.5,47148,231629,202112
2021-09-01,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,707.25,713.25,690.75,697.5,36033,232631,202112
2021-09-02,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,697.5,704.75,691.5,702.5,26398,233531,202112
2021-09-03,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,702.5,717.5,698,716.5,36054,234869,202112
2021-09-07,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,715.25,723.25,708.5,711,38038,237015,202112
2021-09-08,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,711,714.5,695.5,698.25,36982,236954,202112
2021-09-09,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,698.5,699,675.75,676.25,51134,233150,202112
2021-09-10,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,676.25,682,663.75,676,42166,229080,202112
2021-09-13,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,678.25,682.75,668,679.75,30878,225017,202112
2021-09-14,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,678.75,696,677.5,695.25,30682,223848,202112
2021-09-15,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,695.25,710.75,692,709.5,28428,224167,202112
2021-09-16,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,709,715.5,704,714,30275,224304,202112
2021-09-17,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,714,716.5,705.75,706.5,19593,224828,202112
2021-09-20,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,706,708.5,690.5,693.5,24227,225141,202112
2021-09-21,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,693.5,695.25,679.75,684,24778,225471,202112
2021-09-22,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,683.5,700.25,682,699.5,29872,224099,202112
2021-09-23,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,700,715,699.25,713.5,26932,224092,202112
2021-09-24,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,713.5,717.25,706.75,713.25,27722,224629,202112
2021-09-27,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,711,718,711,714.25,31294,224365,202112
2021-09-28,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,712.75,719,696.5,698.5,39576,224674,202112
2021-09-29,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,701,708.75,701,705.25,29865,223416,202112
2021-09-30,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,705.25,731.25,697,725.25,62978,223752,202112
2021-10-01,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,724,755.25,721.5,753,66671,226832,202112
2021-10-04,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,748.75,757.75,744.75,747.75,45216,230856,202112
2021-10-05,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,747.25,747.75,731.5,734.5,41537,230413,202112
2021-10-06,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,735,746.75,732.25,738.5,26769,230583,202112
2021-10-07,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,738.5,744.5,732.25,734.75,34410,232301,202112
2021-10-08,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,733.75,741.25,728.75,731,28522,232642,202112
2021-10-11,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,729.25,735.5,727.25,728,22949,232619,202112
2021-10-12,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,727.5,741.5,719.5,733.25,47814,234621,202112
2021-10-13,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,734,735.5,709.5,715.25,48899,234321,202112
2021-10-14,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,715.25,729.25,714.5,724.5,31803,234405,202112
2021-10-15,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,724.5,741.5,723,737.25,38555,234530,202112
2021-10-18,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,737.75,743.25,734.75,742.5,30715,234885,202112
2021-10-19,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,740,750.75,738.75,741.75,34172,235946,202112
2021-10-20,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,742,754.25,741.25,753.25,40802,240357,202112
2021-10-21,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,752.5,756,736.75,741.25,44375,243592,202112
2021-10-22,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,743.5,768.5,743.5,767.5,100624,237979,202112
2021-10-25,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,767.5,775.75,762,771.25,47144,234862,202112
2021-10-26,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,775.25,783.5,760,770.75,51700,236941,202112
2021-10-27,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,768.25,780,765,776.25,50188,237973,202112
2021-10-28,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,774.75,790.75,769.5,783.5,42723,236932,202112
2021-10-29,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,783.5,787.75,772,779.25,40724,234264,202112
2021-11-01,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,781.25,803,773.25,800,49458,237191,202112
2021-11-02,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,800.75,808,789.75,791.75,50154,235472,202112
2021-11-03,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,790,795.5,779.75,784.25,37262,236702,202112
2021-11-04,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,784.25,797.5,775.75,779.5,45065,237027,202112
2021-11-05,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,780.25,784.75,771.5,772.25,57851,237170,202112
2021-11-08,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,772.25,779,767.5,774.25,60317,235729,202112
2021-11-09,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,774.75,790,770,787,76855,233489,202112
2021-11-10,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,790.75,812.5,785.25,811,94411,238286,202112
2021-11-11,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,811,832.25,808.25,821.5,102424,235303,202112
2021-11-12,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,821.5,837,811.75,826.5,110293,241900,202112
2021-11-15,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,826.5,832.75,817.75,829.5,75849,236595,202112
2021-11-16,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,829.5,830.75,809.75,814.25,76038,237136,202112
2021-11-17,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,815.75,834,815,827.5,59569,238932,202112
2021-11-18,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,828.25,843.25,820.25,820.75,68057,239067,202112
2021-11-19,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,821.25,833.25,813.75,828.25,52703,240223,202112
2021-11-22,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,833.25,858.75,832,855.25,74584,239221,202112
2021-11-23,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,855.5,873,850.75,872.25,68241,239102,202112
2021-11-24,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,872.25,880.75,859.25,866.75,75949,239487,202112
2021-11-26,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,849,863.75,838.5,858.5,36752,234680,202112
2021-11-29,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,868.75,875.25,840.75,847.5,53898,230394,202112
2021-11-30,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,847.25,847.25,805.25,812.5,57198,227423,202203
2021-12-01,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,814.5,823.5,801.5,809.5,50146,224089,202203
2021-12-02,&KE_CCB,KC HRW Wheat Continuous Contract Backadjusted,811.5,838.75,810.25,832.5,37441,222837,202203
